,id_unico,Rubro,Grado,Ciclo,Grupo,Sexo,Relacion,Edad,CR_Total dias ingreso,Primera_conexion_CREA,Dias_de_conexion_dispositivo,Primera_conexion_dispositivo,id_centro
116,1011825,DGES,7,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,20,0.0,,,,12
122,1011826,DGES,7,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,14,42.0,2024-03-07,56.0,2024-10-17,13
276,1011972,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,17,47.0,2024-03-19,,,16
278,1011974,DGES,7,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,13,19.0,2024-04-11,59.0,2024-04-08,30
588,1012226,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,41.0,2024-03-19,,,21
591,1012228,DGES,7,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,13,50.0,2024-03-19,135.0,2024-04-15,45
831,1012455,DGES,7,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,14,6.0,2024-04-25,211.0,2024-05-16,16
902,1012509,DGES,8,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,17,,,,,75
903,1012510,DGES,8,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,3.0,2024-05-15,23.0,2024-02-29,75
971,1012574,DGES,7,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,14,26.0,2024-05-06,176.0,2024-05-17,80
1216,1012803,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,16,,,,,91
1219,1012805,DGES,8,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,14,25.0,2024-03-21,52.0,2024-06-24,92
1220,1012806,DGES,8,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,16,44.0,2024-04-02,,,17
1228,1012812,DGES,7,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,18,0.0,,,,94
1542,1013096,DGES,7,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,13,9.0,2024-06-05,108.0,2024-05-22,114
1549,1013101,DGES,8,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,14,17.0,2024-04-11,56.0,2024-04-11,96
1598,1013127,DGES,7,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,12,41.0,2024-04-04,,,125
1730,1013242,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,18,,,,,16
1874,1013364,DGES,8,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,16,1.0,2024-03-06,115.0,2024-01-13,139
1875,1013365,DGES,8,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,14,1.0,2024-04-11,,2024-01-06,139
1876,1013366,DGES,8,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,,,,,139
1877,1013367,DGES,8,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,14,0.0,,,,139
1957,1013423,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,18,33.0,2024-04-29,,,142
1958,1013424,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,18,12.0,2024-05-04,,,142
1959,1013425,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,17,69.0,2024-03-18,,,142
1960,1013426,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,18,2.0,2024-04-29,,,142
1961,1013427,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,16,36.0,2024-04-29,,,142
1962,1013428,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,17,40.0,2024-04-01,,,142
1963,1013429,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,16,15.0,2024-05-31,,,142
1964,1013430,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,16,41.0,2024-03-06,,,142
1965,1013431,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,16,20.0,2024-04-29,,,142
1966,1013432,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,17,,,,,142
1967,1013433,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,16,4.0,2024-04-29,,,142
1968,1013434,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,28.0,2024-04-23,,,142
1969,1013435,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,63.0,2024-03-18,,,142
1970,1013436,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,68.0,2024-03-18,,,142
1971,1013437,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,51.0,2024-03-19,,,142
1972,1013438,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,16,39.0,2024-03-13,,,142
1973,1013439,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,43.0,2024-03-21,,,142
1974,1013440,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,40.0,2024-04-29,,,142
1975,1013441,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,16,27.0,2024-04-29,,,142
1976,1013442,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,16,29.0,2024-04-29,,,142
1977,1013443,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,16,85.0,2024-03-18,,,142
1978,1013444,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,23.0,2024-05-03,,,142
1979,1013445,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,56.0,2024-03-15,,,142
1980,1013446,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,44.0,2024-04-04,,,142
1981,1013447,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,62.0,2024-03-13,,,142
1982,1013448,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,79.0,2024-03-18,,,142
1983,1013449,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,61.0,2024-03-15,,,142
1984,1013450,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,76.0,2024-03-18,,,142
1985,1013451,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,54.0,2024-03-18,,,142
1986,1013452,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,75.0,2024-03-18,,,142
1987,1013453,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,75.0,2024-04-03,,,142
1988,1013454,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,88.0,2024-03-18,,,142
1989,1013455,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,43.0,2024-04-04,,,142
1990,1013456,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,72.0,2024-03-18,,,142
1991,1013457,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,75.0,2024-03-13,,,142
1992,1013458,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,69.0,2024-03-18,,,142
1993,1013459,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,31.0,2024-05-10,,,142
1994,1013460,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,70.0,2024-03-18,,,142
1995,1013461,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,60.0,2024-03-18,,,142
1996,1013462,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,27.0,2024-04-29,,,142
1997,1013463,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,58.0,2024-04-29,,,142
1998,1013464,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,52.0,2024-03-19,,,142
1999,1013465,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,16,67.0,2024-03-07,,,142
2000,1013466,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,55.0,2024-03-01,,,142
2001,1013467,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,35.0,2024-05-03,,,142
2002,1013468,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,17,,,,,142
2003,1013469,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,59.0,2024-03-18,,,142
2004,1013470,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,41.0,2024-03-20,,,142
2137,1013581,DGES,7,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,13,4.0,2024-05-03,,,155
2202,1013636,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,63.0,2024-03-19,,,37
2203,1013637,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,50.0,2024-03-19,,,37
