id_unico,Rubro,Grado,Ciclo,Grupo,Sexo,Relacion,Edad,id_centro
1000000,DGES,8,3er. CICLO EBI,8vo. G. 4,F,Docente,64,054
1000001,DGES,8,3er. CICLO EBI,8vo. G. 2,F,Docente,24,138
1000002,DGES,8,3er. CICLO EBI,8vo. G. 2,F,Docente,41,008
1000003,DGES,7,3er. CICLO EBI,7mo. G. 1,M,Docente,28,048
1000003,DGES,7,3er. CICLO EBI,7mo. G. 2,M,Docente,28,048
1000004,DGES,9,3er. CICLO EBI,9no. G. 2,F,Docente,49,011
1000005,DGES,8,3er. CICLO EBI,8vo. G. 1,M,Docente,27,250
1000005,DGES,8,3er. CICLO EBI,8vo. G. 2,M,Docente,27,250
1000006,DGES,7,3er. CICLO EBI,7mo. G. 2,F,Docente,32,029
1000007,DGES,7,3er. CICLO EBI,7mo. G. 1,F,Docente,30,221
1000008,DGES,9,3er. CICLO EBI,9no. G. 1,F,Docente,27,150
1000007,DGES,7,3er. CICLO EBI,7mo. G. 3,F,Docente,30,150
1000009,DGES,7,3er. CICLO EBI,7mo. G. 7,F,Docente,35,140
1000009,DGES,8,3er. CICLO EBI,8vo. G. 6,F,Docente,35,140
1000010,DGES,9,3er. CICLO EBI,9no. G. 3,F,Docente,42,192
1000011,DGES,7,3er. CICLO EBI,7mo. G. 1,M,Docente,38,004
1000011,DGES,7,3er. CICLO EBI,7mo. G. 2,M,Docente,38,004
1000011,DGES,8,3er. CICLO EBI,8vo. G. 1,M,Docente,38,004
1000011,DGES,8,3er. CICLO EBI,8vo. G. 2,M,Docente,38,004
1000012,DGES,7,3er. CICLO EBI,7mo. G. 6,F,Docente,28,039
1000013,DGES,9,3er. CICLO EBI,9no. G. 4,M,Docente,29,039
1000014,DGES,7,3er. CICLO EBI,7mo. G. 2,M,Docente,40,133
1000014,DGES,8,3er. CICLO EBI,8vo. G. 1,M,Docente,40,133
1000014,DGES,8,3er. CICLO EBI,8vo. G. 3,M,Docente,40,133
1000015,DGES,9,3er. CICLO EBI,9no. G. 3,F,Docente,52,103
1000016,DGES,7,3er. CICLO EBI,7mo. G. 5,F,Docente,27,203
1000016,DGES,7,3er. CICLO EBI,7mo. G. 6,F,Docente,27,203
1000017,DGES,9,3er. CICLO EBI,9no. G. 4,F,Docente,58,005
1000018,DGES,7,3er. CICLO EBI,7mo. G. 3,F,Docente,32,121
1000019,DGES,8,3er. CICLO EBI,8vo. G. 3,F,Docente,54,191
1000020,DGES,7,3er. CICLO EBI,7mo. G. 2,F,Docente,40,191
1000010,DGES,8,3er. CICLO EBI,8vo. G. 4,F,Docente,42,044
1000021,DGES,8,3er. CICLO EBI,8vo. G. 1,M,Docente,38,259
1000021,DGES,8,3er. CICLO EBI,8vo. G. 2,M,Docente,38,259
1000011,DGES,8,3er. CICLO EBI,8vo. G. 1,M,Docente,38,259
1000011,DGES,8,3er. CICLO EBI,8vo. G. 2,M,Docente,38,259
1000022,DGES,9,3er. CICLO EBI,9no. G. 2,F,Docente,43,160
1000023,DGES,7,3er. CICLO EBI,7mo. G. 6,F,Docente,30,003
1000023,DGES,7,3er. CICLO EBI,7mo. G. 7,F,Docente,30,003
1000023,DGES,7,3er. CICLO EBI,7mo. G. 8,F,Docente,30,003
1000023,DGES,8,3er. CICLO EBI,8vo. G. 1,F,Docente,30,003
1000024,DGES,7,3er. CICLO EBI,7mo. G. 3,F,Docente,26,179
1000025,DGES,7,3er. CICLO EBI,7mo. G. 3,F,Docente,48,097
1000025,DGES,7,3er. CICLO EBI,7mo. G. 4,F,Docente,48,097
